V1, V2, V3
75520, 75536, 92059
75536, 75552, 92059
75552, 75568, 92059
95818, 2320, 95835
2320, 2304, 95835
2304, 2288, 95835
2288, 2272, 95835
2272, 2256, 95835
2256, 95851, 95835
2256, 2240, 95851
2240, 95867, 95851
2240, 2224, 95867
2224, 95883, 95867
2224, 2208, 95883
2208, 95899, 95883
2208, 2192, 95899
2192, 95915, 95899
2192, 2176, 95915
2176, 95931, 95915
2176, 2160, 95931
2160, 95947, 95931
2160, 2144, 95947
2144, 95963, 95947
2144, 2128, 95963
2128, 95979, 95963
2128, 2112, 95979
2112, 95995, 95979
2112, 2096, 95995
2096, 96011, 95995
2096, 2080, 96011
2080, 96027, 96011
2080, 2064, 96027
2064, 96043, 96027
2064, 2048, 96043
2048, 96059, 96043
2048, 2032, 96059
2032, 96075, 96059
2032, 2016, 96075
2016, 96091, 96075
2016, 2000, 96091
2000, 96107, 96091
2000, 1984, 96107
1984, 96123, 96107
1984, 1968, 96123
1968, 96139, 96123
1968, 1952, 96139
1952, 96155, 96139
1952, 1936, 96155
1936, 96171, 96155
1936, 1920, 96171
1920, 96187, 96171
1920, 1904, 96187
1904, 96203, 96187
1904, 1888, 96203
1888, 96219, 96203
1888, 1872, 96219
1872, 96235, 96219
1872, 1856, 96235
1856, 96251, 96235
1856, 1840, 96251
1840, 96267, 96251
1840, 1824, 96267
1824, 96283, 96267
1824, 1808, 96283
1808, 96299, 96283
1808, 1792, 96299
1792, 80016, 96299
80016, 80000, 96299
80000, 79984, 96299
